Entity identifier,Entity names,nacionalidade,participação,idno-evento
ent_0000cris,Cris,Brasil (Nacionalidade),"(ev_1226)  Selecionado 
   (Eventos➔09 Bienal de São Paulo➔Sala Geral )",ev_1226
ent_00080743,Bruno Knutman,Suécia (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278
ent_00080746,Rafael Sánchez-Mateos Paniagua,Espanha (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278
ent_00080820,Cameron Rowland,Estados Unidos (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278
ent_00080919,Bruno Moreschi,Brasil (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278
ent_00080941,Iván Argote e Pauline Bastard,,"(ev_2241)  Convidado 
  ",ev_2241
ent_00080959,Mobile Radio,,"(ev_2241)  Convidado 
  ",ev_2241
ent_00080962,Nascimento e Lovera,,"(ev_2241)  Convidado 
  ",ev_2241
ent_00080972,Sergei Tcherepnin com Ei Arakawa,,"(ev_2241)  Convidado 
  ",ev_2241
ent_00080973,Alessandro Petti e Sandi Hilal,,"(ev_2253)  Convidado 
  ",ev_2253
ent_00080974,Basel Abbas e Ruanne Abou-Rahme,,"(ev_2253)  Convidado 
  ",ev_2253
ent_00080975,Bik Van der Pol,Holanda (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00080979,Etcétera...,Argentina (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00080980,Ines Doujak e John Barker,,"(ev_2253)  Convidado 
  ",ev_2253
ent_00080981,Jakob Jakobsen e María Berríos,,"(ev_2253)  Convidado 
  ",ev_2253
ent_00080991,Tamar Guimarães e Kasper Akhoj,,"(ev_2253)  Convidado 
  ",ev_2253
ent_00080992,Mapa Teatro – Laboratorio de Artistas,França (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00080999,Mujeres Creando,Bolívia (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00081007,Teatro da Vertigem,Brasil (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00081008,Cia Teatral Ueinzz,Brasil (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00081009,Yeguas del Apocalipsis,Chile (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_00081029,Alejandro Corujeira,Argentina (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278
ent_00081030,Wura-Natasha Ogunji,Estados Unidos (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278; ev_10278
ent_00081036,Jennifer Packer,Estados Unidos (Nacionalidade),"(ev_10278)  Convidado 
  ",ev_10278
